Address;LOT_OPERATOR;Geom;Geo Local Area;geo_point_2d
272 E 53rd Ave;City of Vancouver;"{""coordinates"": [127.60009, 36.922282], ""type"": ""Point""}";Sunset;36.922282, 127.60009
959-979 Mainland St;City of Vancouver;"{""coordinates"": [127.61887, 36.97684], ""type"": ""Point""}";Downtown;36.97684, 127.61887
453 W. 12th Ave;City of Vancouver;"{""coordinates"": [127.61318, 36.961154], ""type"": ""Point""}";Mount Pleasant;36.961154, 127.61318
453 W. 12th Ave;City of Vancouver;"{""coordinates"": [127.61318, 36.961093], ""type"": ""Point""}";Mount Pleasant;36.961093, 127.61318
456 Beach Crescent;City of Vancouver;"{""coordinates"": [127.62836, 36.972594], ""type"": ""Point""}";Downtown;36.972594, 127.62836
646 E. 44th Ave;City of Vancouver;"{""coordinates"": [127.591350766374, 36.929904302024], ""type"": ""Point""}";Sunset;36.929904302024, 127.591350766374
3350 Maquinna Dr;City of Vancouver;"{""coordinates"": [127.532341, 36.915032], ""type"": ""Point""}";Killarney;36.915032, 127.532341
860 Richards St;City of Vancouver;"{""coordinates"": [127.618908, 36.979403], ""type"": ""Point""}";Downtown;36.979403, 127.618908
1664 E. 11th;City of Vancouver;"{""coordinates"": [127.570163, 36.96043], ""type"": ""Point""}";Kensington-Cedar Cottage;36.96043, 127.570163
1305 Arbutus St;City of Vancouver;"{""coordinates"": [127.652654, 36.973797], ""type"": ""Point""}";Kitsilano;36.973797, 127.652654
453 W. 12th Ave;City of Vancouver;"{""coordinates"": [127.61374, 36.96122], ""type"": ""Point""}";Mount Pleasant;36.96122, 127.61374
646 E. 44th Ave;City of Vancouver;"{""coordinates"": [127.591360028172, 36.9297756397356], ""type"": ""Point""}";Sunset;36.9297756397356, 127.591360028172
5175 Dumfries St;City of Vancouver;"{""coordinates"": [127.575332641601, 36.9385597229003], ""type"": ""Point""}";Kensington-Cedar Cottage;36.9385597229003, 127.575332641601
6260 Killarney St;City of Vancouver;"{""coordinates"": [127.544818, 36.926968], ""type"": ""Point""}";Killarney;36.926968, 127.544818
2099 Beach Ave;City of Vancouver;"{""coordinates"": [127.64499, 36.991028], ""type"": ""Point""}";;36.991028, 127.64499
2099 Beach Ave;City of Vancouver;"{""coordinates"": [127.645062, 36.991042], ""type"": ""Point""}";;36.991042, 127.645062
1664 E. 11th;City of Vancouver;"{""coordinates"": [127.570249, 36.960433], ""type"": ""Point""}";Kensington-Cedar Cottage;36.960433, 127.570249
3360 Victoria Dr;City of Vancouver;"{""coordinates"": [127.565749, 36.956637], ""type"": ""Point""}";Kensington-Cedar Cottage;36.956637, 127.565749
3360 Victoria Dr;City of Vancouver;"{""coordinates"": [127.56573, 36.956591], ""type"": ""Point""}";Kensington-Cedar Cottage;36.956591, 127.56573
3360 Victoria Dr;City of Vancouver;"{""coordinates"": [127.565717, 36.956537], ""type"": ""Point""}";Kensington-Cedar Cottage;36.956537, 127.565717
273 E 53rd Ave;City of Vancouver;"{""coordinates"": [127.600095218575, 36.922235022762], ""type"": ""Point""}";Sunset;36.922235022762, 127.600095218575
3311 E. Hastings;City of Vancouver;"{""coordinates"": [127.533786, 36.981369], ""type"": ""Point""}";Hastings-Sunrise;36.981369, 127.533786
959-979 Mainland St;City of Vancouver;"{""coordinates"": [127.619261061127, 36.9769232201811], ""type"": ""Point""}";Downtown;36.9769232201811, 127.619261061127
451 Beach Crescent;City of Vancouver;"{""coordinates"": [127.62833, 36.972514], ""type"": ""Point""}";Downtown;36.972514, 127.62833
646 E. 44th Ave;City of Vancouver;"{""coordinates"": [127.59135336453, 36.929928611422], ""type"": ""Point""}";Sunset;36.929928611422, 127.59135336453
5175 Dumfries St;City of Vancouver;"{""coordinates"": [127.575485229492, 36.9385063171386], ""type"": ""Point""}";Kensington-Cedar Cottage;36.9385063171386, 127.575485229492
646 E. 44th Ave;City of Vancouver;"{""coordinates"": [127.574953, 36.937778], ""type"": ""Point""}";Kensington-Cedar Cottage;36.937778, 127.574953
3350 Maquinna Dr;City of Vancouver;"{""coordinates"": [127.532265, 36.915036], ""type"": ""Point""}";Killarney;36.915036, 127.532265
3350 Maquinna Dr;City of Vancouver;"{""coordinates"": [127.532306, 36.915032], ""type"": ""Point""}";Killarney;36.915032, 127.532306
6260 Killarney St;City of Vancouver;"{""coordinates"": [127.544804, 36.926948], ""type"": ""Point""}";Killarney;36.926948, 127.544804
6260 Killarney St;City of Vancouver;"{""coordinates"": [127.544843, 36.926955], ""type"": ""Point""}";Killarney;36.926955, 127.544843
2099 Beach Ave;City of Vancouver;"{""coordinates"": [127.645028, 36.991034], ""type"": ""Point""}";;36.991034, 127.645028
860 Richards St;City of Vancouver;"{""coordinates"": [127.618962, 36.979351], ""type"": ""Point""}";Downtown;36.979351, 127.618962
860 Richards St;City of Vancouver;"{""coordinates"": [127.618924, 36.979373], ""type"": ""Point""}";Downtown;36.979373, 127.618924
1200 Thornton St;City of Vancouver;"{""coordinates"": [127.59242, 36.974598], ""type"": ""Point""}";Strathcona;36.974598, 127.59242
1201 Thornton St;City of Vancouver;"{""coordinates"": [127.592452, 36.97454], ""type"": ""Point""}";Strathcona;36.97454, 127.592452
